id,text,label
1,浙江杭州市江干区九堡镇三村村一区,B-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-community I-community E-community B-poi E-poi
2,浙江省温州市平阳县海西镇宋埠公园南路0000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-poi I-poi I-poi E-poi B-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno
3,浙江省余姚市模具城金型路000号_样样红0A打印,B-prov I-prov E-prov B-district I-district E-district B-poi I-poi E-poi B-road I-road E-road B-roadno I-roadno I-roadno E-roadno O B-subpoi I-subpoi I-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
4,浙江省杭州市江干区白杨街道下沙开发区世茂江滨花园峻景湾00幢,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town I-town E-town B-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi I-poi I-poi E-poi B-subpoi I-subpoi E-subpoi B-houseno I-houseno E-houseno
5,秋菱路浙江兰溪金立达框业有限公司,B-road I-road E-road B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
6,南湖区中环南路和花园路交叉口嘉兴市城乡规划建设管理委员会,B-district I-district E-district B-road I-road I-road E-road O B-road I-road E-road B-intersection I-intersection E-intersection B-city I-city E-city B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
7,下关镇嘉士伯大道龙泉组团物管处,B-town I-town E-town B-road I-road I-road I-road E-road B-poi I-poi I-poi E-poi B-poi I-poi E-poi
8,火车站旧家属区石转单身宿舍对面,B-poi I-poi E-poi B-poi I-poi I-poi E-poi B-poi I-poi I-poi I-poi I-poi E-poi O O
9,安宜镇白田路百合家园000栋,B-town I-town E-town B-road I-road E-road B-poi I-poi I-poi E-poi B-houseno I-houseno I-houseno E-houseno
10,义乌长春路000号二楼教务科,B-district E-district B-road I-road E-road B-roadno I-roadno I-roadno E-roadno O O B-poi I-poi E-poi
11,浙江省金华义乌市下湾0区00栋,B-prov I-prov E-prov B-city E-city B-district I-district E-district B-community E-community B-poi E-poi B-houseno I-houseno E-houseno
12,浙江省金华市永康市方岩镇文楼村万里公路000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-community I-community E-community B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno
13,浙江绍兴市绍兴县袍江工业园区世纪街跟汤工路交叉口苏泊尔0号厂房仓库,B-prov E-prov B-city I-city E-city B-district I-district E-district B-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road E-road O B-road I-road E-road B-intersection I-intersection E-intersection B-poi I-poi I-poi I-poi I-poi I-poi E-poi B-subpoi E-subpoi
14,上海市徐汇区宛平南路000弄0号楼佳安公寓,B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-houseno I-houseno E-houseno B-poi I-poi I-poi E-poi
15,浙江省温州市龙港镇兴安街000号,B-prov I-prov E-prov B-city I-city E-city B-town I-town E-town B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
16,清远路0000-00号,B-road I-road E-road B-roadno I-roadno I-roadno I-roadno I-roadno I-roadno I-roadno E-roadno
17,义乌市丹阳街000号,B-district I-district E-district B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
18,余姚市临山镇车站西路00号,B-district I-district E-district B-town I-town E-town B-road I-road I-road E-road B-roadno I-roadno E-roadno
19,当湖街道金色港湾0幢,B-town I-town I-town E-town B-poi I-poi I-poi E-poi B-houseno E-houseno
20,浙江省宁波市江东区园丁街00号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno E-roadno
21,上海市浦东周浦周邓公路0000弄000号,B-city I-city E-city B-district E-district B-town E-town B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-houseno I-houseno I-houseno E-houseno
22,振港路华莱士斜对面,B-road I-road E-road B-poi I-poi E-poi B-assist I-assist E-assist
23,回溪街0000号东方巴黎一,B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi O
24,开发大道000号附近武义太平洋国际货运代理有限公司,B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-assist E-assist B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
25,安徽省宣城市广德县团山路0号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno E-roadno
26,巨溪镇朝阳村委会办公楼三单元,B-town I-town E-town B-community I-community I-community I-community E-community B-poi I-poi E-poi B-cellno I-cellno E-cellno
27,桐乡市石门镇育才路0000号中心卫生院,B-district I-district E-district B-town I-town E-town B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi E-poi
